,DEPTH,DT,GR,ILD,NPHI,RHOB
333,3036.6,88.0312,79.5625,12.2656,26.9688,2.322
334,3036.8,90.5039,75.3555,11.7383,30.1758,2.2869
335,3037.0,90.3242,79.75,11.1758,29.9961,2.2468
336,3037.2,88.6055,84.8125,10.3516,26.4414,2.2334
337,3037.4,85.8906,90.6875,9.6758,24.6501,2.261
338,3037.6,83.9805,98.125,9.3296,25.1523,2.2896
339,3037.8,84.625,94.8125,9.0867,25.2234,2.3059
340,3038.0,87.1406,81.4375,9.0334,25.6953,2.3259
341,3038.2,88.3633,71.9375,9.5,26.7773,2.3422
342,3038.4,86.4883,69.9141,10.6094,24.6875,2.3478
343,3038.6,84.1523,71.5586,12.4297,20.3281,2.3267
344,3038.8,87.6875,71.9531,14.957,20.7852,2.262
345,3039.0,94.0,71.1914,17.9023,25.9375,2.1833
346,3039.2,96.25,73.1328,19.3203,29.1562,2.1457
347,3039.4,97.5,76.5039,17.9258,28.7812,2.1407
348,3039.6,98.7031,77.2854,15.2148,27.1602,2.151
349,3039.8,99.0234,72.375,12.8633,27.1406,2.1775
350,3040.0,97.1055,63.25,10.6133,28.2734,2.2026
351,3040.2,92.0,58.1484,8.4219,28.9141,2.2334
352,3040.4,84.6875,62.75,6.6016,26.1875,2.2976
353,3040.6,79.9922,70.1875,5.4531,19.8125,2.3921
354,3040.8,80.4805,74.3008,4.8477,16.0234,2.4646
355,3041.0,88.5,79.9375,4.5781,18.625,2.4709
356,3041.2,102.0625,89.625,4.4746,23.1797,2.4568
357,3041.4,106.9219,93.5889,4.4587,24.1211,2.4565
358,3041.6,102.125,88.8125,4.6289,22.5088,2.4421
359,3041.8,96.8125,81.875,5.082,22.8203,2.4048
360,3042.0,93.3906,78.5352,5.7461,24.75,2.3623
361,3042.2,98.625,79.207,6.4297,25.7148,2.3157
362,3042.4,111.125,82.9375,6.6289,24.793,2.2923
363,3042.6,117.4922,88.0,6.0742,23.2031,2.3081
364,3042.8,119.7539,91.6914,5.1055,21.2188,2.333
